year,anomaly,historic_avg,actual_avg,type,month
1880,-0.5868,3.7,3.1132,land,12
1881,-0.3731,3.7,3.3269,land,12
1882,-0.6778,3.7,3.0222,land,12
1883,-0.2441,3.7,3.4559,land,12
1884,-0.3111,3.7,3.3889,land,12
1885,0.2515,3.7,3.9515,land,12
1886,-0.0248,3.7,3.6752,land,12
1887,-0.2578,3.7,3.4422,land,12
1888,-0.1994,3.7,3.5006,land,12
1889,-0.4257,3.7,3.2743,land,12
1890,-0.4314,3.7,3.2686,land,12
1891,0.1243,3.7,3.8243,land,12
1892,-0.9219,3.7,2.7781,land,12
1893,-0.2788,3.7,3.4212,land,12
1894,-0.3186,3.7,3.3814,land,12
1895,-0.1343,3.7,3.5657,land,12
1896,-0.1292,3.7,3.5708,land,12
1897,-0.5452,3.7,3.1548,land,12
1898,0.3039,3.7,4.0039,land,12
1899,-0.6248,3.7,3.0752,land,12
1900,0.2697,3.7,3.9697,land,12
1901,-0.2792,3.7,3.4208,land,12
1902,-0.8442,3.7,2.8558,land,12
1903,-0.5765,3.7,3.1235,land,12
1904,-0.1786,3.7,3.5214,land,12
1905,-0.0795,3.7,3.6205,land,12
1906,0.1351,3.7,3.8351,land,12
1907,-0.5250,3.7,3.175,land,12
1908,-0.3006,3.7,3.3994,land,12
1909,-0.3188,3.7,3.3812,land,12
1910,-0.8045,3.7,2.8955,land,12
1911,-0.3390,3.7,3.361,land,12
1912,-0.4715,3.7,3.2285,land,12
1913,0.4437,3.7,4.1437,land,12
1914,-0.2970,3.7,3.403,land,12
1915,0.3228,3.7,4.0228,land,12
1916,-1.1073,3.7,2.5927,land,12
1917,-1.2133,3.7,2.4867,land,12
1918,-0.8497,3.7,2.8503,land,12
1919,-0.4323,3.7,3.2677,land,12
1920,-0.9369,3.7,2.7631,land,12
1921,0.0445,3.7,3.7445,land,12
1922,-0.0228,3.7,3.6772,land,12
1923,0.1673,3.7,3.8673,land,12
1924,-0.4052,3.7,3.2948,land,12
1925,0.6111,3.7,4.3111,land,12
1926,-0.3498,3.7,3.3502,land,12
1927,-0.7173,3.7,2.9827,land,12
1928,0.0723,3.7,3.7723,land,12
1929,-1.2730,3.7,2.427,land,12
1930,0.0428,3.7,3.7428,land,12
1931,0.0582,3.7,3.7582,land,12
1932,-0.2712,3.7,3.4288,land,12
1933,-0.7558,3.7,2.9442,land,12
1934,0.1600,3.7,3.86,land,12
1935,-0.4039,3.7,3.2961,land,12
1936,0.1846,3.7,3.8846,land,12
1937,-0.2701,3.7,3.4299,land,12
1938,-0.3597,3.7,3.3403,land,12
1939,1.1871,3.7,4.8871,land,12
1940,0.3940,3.7,4.094,land,12
1941,-0.0696,3.7,3.6304,land,12
1942,0.1402,3.7,3.8402,land,12
1943,0.6467,3.7,4.3467,land,12
1944,-0.3514,3.7,3.3486,land,12
1945,-0.5731,3.7,3.1269,land,12
1946,-0.7093,3.7,2.9907,land,12
1947,-0.1460,3.7,3.554,land,12
1948,-0.2008,3.7,3.4992,land,12
1949,-0.3653,3.7,3.3347,land,12
1950,-0.1846,3.7,3.5154,land,12
1951,0.5715,3.7,4.2715,land,12
1952,-0.1677,3.7,3.5323,land,12
1953,0.2549,3.7,3.9549,land,12
1954,-0.2711,3.7,3.4289,land,12
1955,-0.4738,3.7,3.2262,land,12
1956,-0.4111,3.7,3.2889,land,12
1957,0.6283,3.7,4.3283,land,12
1958,0.2472,3.7,3.9472,land,12
1959,-0.1064,3.7,3.5936,land,12
1960,0.5937,3.7,4.2937,land,12
1961,-0.1739,3.7,3.5261,land,12
1962,0.3111,3.7,4.0111,land,12
1963,0.0713,3.7,3.7713,land,12
1964,-0.3790,3.7,3.321,land,12
1965,-0.0301,3.7,3.6699,land,12
1966,-0.5058,3.7,3.1942,land,12
1967,0.0802,3.7,3.7802,land,12
1968,-0.5136,3.7,3.1864,land,12
1969,0.4696,3.7,4.1696,land,12
1970,-0.2444,3.7,3.4556,land,12
1971,0.2113,3.7,3.9113,land,12
1972,0.1564,3.7,3.8564,land,12
1973,0.2659,3.7,3.9659,land,12
1974,-0.3515,3.7,3.3485,land,12
1975,0.0821,3.7,3.7821,land,12
1976,-0.1992,3.7,3.5008,land,12
1977,0.0236,3.7,3.7236,land,12
1978,0.0167,3.7,3.7167,land,12
1979,0.9226,3.7,4.6226,land,12
1980,0.3199,3.7,4.0199,land,12
1981,0.8247,3.7,4.5247,land,12
1982,0.7156,3.7,4.4156,land,12
1983,0.3410,3.7,4.041,land,12
1984,-0.7371,3.7,2.9629,land,12
1985,0.1774,3.7,3.8774,land,12
1986,0.1387,3.7,3.8387,land,12
1987,0.8929,3.7,4.5929,land,12
1988,0.8502,3.7,4.5502,land,12
1989,0.7346,3.7,4.4346,land,12
1990,0.6159,3.7,4.3159,land,12
1991,0.3329,3.7,4.0329,land,12
1992,0.5039,3.7,4.2039,land,12
1993,0.5366,3.7,4.2366,land,12
1994,0.4780,3.7,4.178,land,12
1995,0.5289,3.7,4.2289,land,12
1996,0.6088,3.7,4.3088,land,12
1997,0.7432,3.7,4.4432,land,12
1998,1.1228,3.7,4.8228,land,12
1999,1.3359,3.7,5.0359,land,12
2000,0.2289,3.7,3.9289,land,12
2001,0.6828,3.7,4.3828,land,12
2002,0.3369,3.7,4.0369,land,12
2003,1.3985,3.7,5.0985,land,12
2004,0.5811,3.7,4.2811,land,12
2005,1.0803,3.7,4.7803,land,12
2006,1.4083,3.7,5.1083,land,12
2007,0.9878,3.7,4.6878,land,12
2008,0.8617,3.7,4.5617,land,12
2009,0.5370,3.7,4.237,land,12
2010,0.6031,3.7,4.3031,land,12
2011,0.9735,3.7,4.6735,land,12
2012,0.2626,3.7,3.9626,land,12
2013,1.1448,3.7,4.8448,land,12
2014,1.3816,3.7,5.0816,land,12
2015,1.8877,3.7,5.5877,land,12
1880,0.0041,15.7,15.7041,ocean,12
1881,0.0084,15.7,15.7084,ocean,12
1882,-0.0491,15.7,15.6509,ocean,12
1883,-0.0609,15.7,15.6391,ocean,12
1884,-0.1304,15.7,15.5696,ocean,12
1885,-0.0336,15.7,15.6664,ocean,12
1886,-0.2235,15.7,15.4765,ocean,12
1887,-0.2054,15.7,15.4946,ocean,12
1888,0.0989,15.7,15.7989,ocean,12
1889,-0.1166,15.7,15.5834,ocean,12
1890,-0.1918,15.7,15.5082,ocean,12
1891,-0.1119,15.7,15.5881,ocean,12
1892,-0.3064,15.7,15.3936,ocean,12
1893,-0.2423,15.7,15.4577,ocean,12
1894,-0.2072,15.7,15.4928,ocean,12
1895,-0.0531,15.7,15.6469,ocean,12
1896,0.1112,15.7,15.8112,ocean,12
1897,-0.2044,15.7,15.4956,ocean,12
1898,-0.1202,15.7,15.5798,ocean,12
1899,-0.0409,15.7,15.6591,ocean,12
1900,-0.0585,15.7,15.6415,ocean,12
1901,-0.2321,15.7,15.4679,ocean,12
1902,-0.2051,15.7,15.4949,ocean,12
1903,-0.3359,15.7,15.3641,ocean,12
1904,-0.2741,15.7,15.4259,ocean,12
1905,-0.1533,15.7,15.5467,ocean,12
1906,-0.2737,15.7,15.4263,ocean,12
1907,-0.3534,15.7,15.3466,ocean,12
1908,-0.4156,15.7,15.2844,ocean,12
1909,-0.4452,15.7,15.2548,ocean,12
1910,-0.4830,15.7,15.217,ocean,12
1911,-0.1971,15.7,15.5029,ocean,12
1912,-0.3181,15.7,15.3819,ocean,12
1913,-0.2085,15.7,15.4915,ocean,12
1914,-0.0246,15.7,15.6754,ocean,12
